turkmenistan	9999	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\turkmenistan.png
tuvalu	1978	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\tuvalu.png
uganda	1962	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\uganda.png
ukraine	1992	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\ukraine.png
united arab emirates	1971	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\united arab emirates.png
united kingdom	1801	C:\\Users\\hornu\\OneDrive\\Documents\\repos\\flags\\data\\clean-data\\images\\united kingdom.png
united states of america	1960	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\united states.png
uruguay	1828	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\uruguay.png
uzbekistan	1991	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\uzbekistan.png
vanuatu	1980	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\vanuatu.png
vatican city	1929	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\vatican city.png
venezuela	2006	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\venezuela.png
vietnam	1975	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\vietnam.png
western sahara	1976	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\western sahara.png
yemen	1990	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\yemen.png
zambia	1964	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\zambia.png
zimbabwe	1980	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\zimbabwe.png
